0,17,2014,51,2579,21,1846,4,355,1,0,0,348,0,1027,39,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,59,17,1,1,98,1,18,0,2,0,2,2,5,0,2,0,12,0,142,1,4,0,1,0,5850,8,170,3,315,3,234,0,131,2,118,5,1049,2,727,35,384,0,11,0,0,0,16,0,137,0,12,0,361,4,0,0,6,0,0,1,5,1,37,1,13,2,2,0,1,2,4,2,17,3,1,1,1,5,1,0,1,0,1,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,37,3,0,1,2,0,3,0,3,0,40,0,3,0,0,0,0,0,0,0,85,9,7,0,0,0,3,0,14,1,5,1,4,0,10,2
17,0,7,2214,4,1575,5,1757,3,138,0,0,0,309,57,547,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,355,0,0,115,307,2,2,3,4,0,0,0,0,0,1,0,1,0,1,0,6,0,11,0,1,0,0,19,4583,0,202,3,210,0,387,2,213,21,74,47,553,8,176,6,88,0,0,0,0,0,1,4,54,0,1,1,93,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,7,0,83,7274,28,115,2,436,9,651,2,9,0,2271,22,81,41,4497,119,259,26,112,8,231,1,107,0,111,0,0,0,308,3,0,0,113,24,10,0,35,0,6,0,34,0,2,0,8,0,6,0,4,0,20,2,1,0,3,0,365,1,53,1,36,0,13,0,9,0,97,2,249,0,1217,47,676,12,6,1,0,0,3,0,11,0,4,0,21,0,1,0,7,0,3,1,1,1,20,1,7,0,3,1,0,0,1,2,11,1,1,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,46,9,1,0,0,0,1,0,0,0,21,1,0,0,0,0,56,16,120,35,282,74,42,5,2,2,2,0,15,1,5,3,4,0,6,0
51,2214,83,0,71,7007,22,129,25,378,2,228,4,7,249,2986,35,84,71,2849,2,534,6,383,1,261,0,146,0,65,0,0,13,139,0,0,159,364,1,4,5,1,2,0,0,1,1,0,2,2,0,0,1,7,1,21,0,0,0,1,28,318,2,141,3,76,0,28,0,100,15,88,23,205,54,1467,36,377,3,1,0,0,0,0,1,14,0,0,1,45,0,1,0,4,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,18,12,62,147,432,11,19,1,0,1,1,0,0,2,0,0,0,1,0
2579,4,7274,71,0,27,673,5,3705,11,1440,1,26,0,493,31,26,9,356,63,2,9,2,4,70,0,58,0,64,0,0,0,382,2,0,0,52,34,4,0,60,0,10,0,23,0,4,0,11,0,4,0,8,1,108,0,1,0,2,0,184,1,59,3,95,0,28,1,45,0,61,3,115,0,2129,64,714,5,17,1,0,0,0,0,35,0,10,0,179,2,2,0,11,0,0,3,7,4,24,2,6,0,1,0,3,4,5,2,8,2,4,4,4,3,0,0,0,0,0,3,0,0,2,0,0,0,4,0,1,1,0,0,5,0,71,13,2,0,0,0,5,0,2,0,40,0,0,0,0,0,5,3,15,16,289,64,18,1,1,0,5,0,12,1,6,1,6,1,12,0
21,1575,28,7007,27,0,12,1232,5,3496,0,658,2,94,107,78,3,21,29,171,0,22,1,31,0,21,0,118,0,31,0,0,6,268,0,0,61,63,1,1,1,1,0,0,0,0,0,0,1,1,0,2,1,7,0,10,0,0,0,0,11,265,0,63,1,149,0,207,0,205,6,16,6,10,19,1198,14,302,1,0,0,0,1,2,3,71,0,1,2,187,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,2,6,97,166,0,2,0,0,0,0,1,2,0,0,0,0,0,0
1846,5,115,22,673,12,0,2,1706,5,4,0,1423,0,172,10,0,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0,18,5,0,0,21,2,2,0,2,0,0,0,6,0,1,0,1,0,7,0,1,0,1,0,426,3,9,0,18,0,98,0,15,1,23,2,60,0,331,14,189,0,4,1,0,0,26,0,304,0,349,0,65,1,0,0,1,1,1,0,0,1,6,0,2,0,0,0,1,0,0,1,3,2,1,1,3,2,1,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,1,0,30,1,1,0,0,0,0,0,0,0,18,0,3,0,1,0,0,0,1,1,40,8,4,0,0,0,3,0,4,0,2,0,2,0,1,1
4,1757,2,129,5,1232,2,0,0,1907,0,2,0,1352,25,40,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1122,0,0,17,17,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,7,0,0,0,0,4,219,1,22,2,42,0,357,0,49,5,4,3,0,5,175,4,100,0,1,0,0,0,1,1,98,0,0,0,65,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0
355,3,436,25,3705,5,1706,0,0,6,1588,0,144,0,100,14,7,4,106,24,0,0,1,1,4,0,1,0,156,0,0,0,1648,1,0,0,19,6,1,0,50,0,10,0,12,0,2,0,2,0,5,0,0,0,12,0,2,0,9,0,83,1,4,1,7,0,29,0,4,1,16,0,47,0,672,11,764,2,5,1,0,0,4,0,50,0,100,0,40,1,7,0,15,0,1,1,3,2,19,1,3,3,4,1,0,0,2,1,7,2,0,4,0,2,1,1,0,0,0,1,0,0,1,0,1,0,6,0,0,0,0,0,3,0,85,12,5,1,1,0,2,0,2,0,39,0,1,0,0,0,2,2,7,9,66,14,4,1,3,0,4,0,8,1,9,3,9,0,10,0
1,138,9,378,11,3496,5,1907,6,0,0,690,0,221,19,26,0,2,17,62,0,0,0,0,0,0,0,1,0,9,0,0,0,929,0,0,9,9,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,70,0,14,0,15,0,264,0,11,3,3,1,0,10,582,6,283,0,2,0,0,0,2,0,80,0,0,1,53,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,28,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0
